TestType,ProductCount,BufferSize,AvgInitTime,AvgCommTime
Thread,4600,20,0.000168685,0.00325991
Process,4600,20,0.000232922,0.0069715
Thread,4700,20,0.000173261,0.00332394
Process,4700,20,0.000228902,0.0070936
Thread,4800,20,0.000169614,0.00339313
Process,4800,20,0.000230651,0.00732015
Thread,4900,20,0.000169551,0.0034694
Process,4900,20,0.000241562,0.0073793
Thread,5000,20,0.000169479,0.00352534
Process,5000,20,0.000241716,0.0075457
Thread,100,50,0.000169403,0.000193436
Process,100,50,0.000241854,0.000180053
Thread,200,50,0.000170649,0.000271271
Process,200,50,0.000228696,0.000323172
Thread,300,50,0.000169503,0.000347914
Process,300,50,0.000231521,0.000476955
Thread,400,50,0.000169332,0.000415715
Process,400,50,0.000234441,0.000635065
Thread,500,50,0.000171477,0.000448989
Process,500,50,0.000236622,0.000782635
Thread,600,50,0.000169636,0.00050324
Process,600,50,0.00024227,0.000926585
Thread,700,50,0.000170024,0.000547575
Process,700,50,0.000231358,0.00108632
Thread,800,50,0.000170721,0.00062982
Process,800,50,0.000234333,0.00123733
Thread,900,50,0.000170393,0.000627445
Process,900,50,0.000237913,0.00138165
Thread,1000,50,0.000172136,0.000707135
Process,1000,50,0.000234681,0.00154695
Thread,1100,50,0.000170869,0.00072059
Process,1100,50,0.0002313,0.0016883
Thread,1200,50,0.000171497,0.00076987
Process,1200,50,0.000240759,0.0018306
Thread,1300,50,0.000169131,0.00085881
Process,1300,50,0.000240295,0.00200118
Thread,1400,50,0.00017171,0.000901505
Process,1400,50,0.000244459,0.00214696
Thread,1500,50,0.000172704,0.00092736
Process,1500,50,0.000237127,0.00232858
Thread,1600,50,0.000171464,0.00104075
Process,1600,50,0.000237256,0.00249421
Thread,1700,50,0.000172466,0.00107474
Process,1700,50,0.00024139,0.00260265
Thread,1800,50,0.000175422,0.00112175
Process,1800,50,0.000242736,0.0027757
Thread,1900,50,0.000171845,0.00113553
Process,1900,50,0.000245476,0.0029404
Thread,2000,50,0.000173356,0.00121419
Process,2000,50,0.000246007,0.00309137
Thread,2100,50,0.000173218,0.00126728
Process,2100,50,0.0002408,0.00322207
Thread,2200,50,0.000173968,0.00130358
Process,2200,50,0.000236769,0.00336913
Thread,2300,50,0.00017466,0.00139795
Process,2300,50,0.0002439,0.00351686
Thread,2400,50,0.000173042,0.00143577
Process,2400,50,0.00024629,0.0036777
Thread,2500,50,0.000175874,0.0014345
Process,2500,50,0.000247561,0.0038591
Thread,2600,50,0.000173602,0.00159811
Process,2600,50,0.000237402,0.00397461
Thread,2700,50,0.00017604,0.00158137
Process,2700,50,0.000241623,0.0041133
Thread,2800,50,0.000176473,0.00161763
Process,2800,50,0.000238503,0.00430497
Thread,2900,50,0.000175378,0.00168047
Process,2900,50,0.000239987,0.00445988
Thread,3000,50,0.00017555,0.00171575
Process,3000,50,0.000249193,0.00459168
Thread,3100,50,0.000174506,0.00175633
Process,3100,50,0.000237237,0.00471674
Thread,3200,50,0.000175715,0.0018269
Process,3200,50,0.000236829,0.00490179
Thread,3300,50,0.00017493,0.00190453
Process,3300,50,0.000244693,0.00505075
Thread,3400,50,0.000175961,0.00198399
Process,3400,50,0.000246911,0.00518785
Thread,3500,50,0.000178008,0.00203598
Process,3500,50,0.000247234,0.00533715
Thread,3600,50,0.000177046,0.00208315
Process,3600,50,0.000242526,0.00553025
Thread,3700,50,0.000176266,0.00211417
Process,3700,50,0.000240904,0.0056873
Thread,3800,50,0.0001739,0.00216984
Process,3800,50,0.000246981,0.00583555
Thread,3900,50,0.000175869,0.0022181
Process,3900,50,0.000243022,0.0059274
Thread,4000,50,0.000176874,0.00232612
Process,4000,50,0.000241591,0.0060887
Thread,4100,50,0.000176626,0.00236964
Process,4100,50,0.00023942,0.00628045
Thread,4200,50,0.000176874,0.00249274
Process,4200,50,0.000239344,0.0063213
Thread,4300,50,0.000175656,0.00239323
Process,4300,50,0.000246313,0.00655105
Thread,4400,50,0.000173388,0.00249944
Process,4400,50,0.000242727,0.00666695
Thread,4500,50,0.000176323,0.00253663
Process,4500,50,0.000250928,0.0068258
Thread,4600,50,0.000177476,0.00263433
Process,4600,50,0.000241028,0.00696745
Thread,4700,50,0.000174824,0.00265616
Process,4700,50,0.000247629,0.0071449
Thread,4800,50,0.000175122,0.00269191
Process,4800,50,0.000247319,0.00725875
Thread,4900,50,0.000174741,0.00279919
Process,4900,50,0.000246959,0.0074322
Thread,5000,50,0.000179777,0.00295079
Process,5000,50,0.000247418,0.00760715
